ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1416332235.02492,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,26537,25592,25576,325,56748
1416332235.02492,pg_catalog,pg_type,pg_type_typname_nsp_index,2913,2226,2091,803,7000
1416332235.02492,pg_catalog,pg_type,pg_type_oid_index,108612,108313,108313,313,222243
1416332235.02492,public,orders,pk_orders,30,30,30,6,96
1416332235.02492,public,orders,orders_o_orderkey_o_orderdate_idx,0,0,0,1,11
1416332235.02492,public,orders,orders_o_orderdate_o_orderkey_idx,0,0,0,1,11
1416332235.02492,pg_toast,pg_toast_2619,pg_toast_2619_index,19544,65346,65346,253,22630
1416332235.02492,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_2618,pg_toast_2618_index,476,1520,1520,74,694
1416332235.02492,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_authid,pg_authid_oid_index,4713,4713,4713,154,9272
1416332235.02492,pg_catalog,pg_authid,pg_authid_rolname_index,4682,4682,4682,160,9204
1416332235.02492,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,96034,217873,217873,632,198708
1416332235.02492,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,166,166,166,251,2450
1416332235.02492,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,5664,25704,25704,1030,14690
1416332235.02492,pg_catalog,pg_proc,pg_proc_oid_index,35883,35883,35883,775,75500
1416332235.02492,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_constraint,pg_constraint_oid_index,48,24,24,6,114
1416332235.02492,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,6,42
1416332235.02492,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,6,42
1416332235.02492,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,6,42
1416332235.02492,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,151,0,0,66,85
1416332235.02492,pg_catalog,pg_index,pg_index_indexrelid_index,44372,44515,44372,145,49295
1416332235.02492,pg_catalog,pg_index,pg_index_indrelid_index,11111,33411,33411,247,13877
1416332235.02492,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_opclass,pg_opclass_oid_index,21487,21487,21487,149,26274
1416332235.02492,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,7199,300681,300681,315,8891
1416332235.02492,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_amop,pg_amop_opr_fam_index,17673,36976,36976,348,38299
1416332235.02492,pg_catalog,pg_amop,pg_amop_fam_strat_index,24735,24735,24735,367,51361
1416332235.02492,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,20804,32792,32792,214,46330
1416332235.02492,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,2526,2526,2526,417,3984
1416332235.02492,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,903,822,741,156,1391
1416332235.02492,pg_catalog,pg_rewrite,pg_rewrite_oid_index,243,162,162,111,300
1416332235.02492,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,265,0,0,70,195
1416332235.02492,pg_catalog,pg_description,pg_description_o_c_o_index,679,0,0,188,1321
1416332235.02492,pg_catalog,pg_cast,pg_cast_source_target_index,158150,37572,37572,147,162528
1416332235.02492,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_database,pg_database_oid_index,7132,7132,7132,158,12153
1416332235.02492,pg_catalog,pg_database,pg_database_datname_index,9856,9856,9856,146,14878
1416332235.02492,pg_catalog,pg_namespace,pg_namespace_oid_index,13030,13030,13030,182,13212
1416332235.02492,pg_catalog,pg_namespace,pg_namespace_nspname_index,13013,8342,8342,148,17536
1416332235.02492,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,20716,0,0,67,20649
1416332235.02492,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,7,7
1416332235.02492,pg_catalog,pg_tablespace,pg_tablespace_oid_index,3343,3343,3343,206,6480
1416332235.02492,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_shdepend,pg_shdepend_reference_index,151,151,151,140,162
1416332235.02492,pg_catalog,pg_shdepend,pg_shdepend_depender_index,679,0,0,127,703
1416332235.02492,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_rowsecurity,pg_rowsecurity_polname_relid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_rowsecurity,pg_rowsecurity_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_default_acl,pg_default_acl_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_default_acl,pg_default_acl_role_nsp_obj_index,604,0,0,64,540
1416332235.02492,pg_catalog,pg_seclabel,pg_seclabel_object_index,679,0,0,61,618
1416332235.02492,pg_catalog,pg_shseclabel,pg_shseclabel_object_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_collation,pg_collation_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_collation,pg_collation_name_enc_nsp_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_range,pg_range_rngtypid_index,1124,0,0,420,1828
1416332235.02492,pg_toast,pg_toast_12320,pg_toast_12320_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_12325,pg_toast_12325_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_12330,pg_toast_12330_index,0,0,0,0,0
1416332235.02492,public,lineitem,lineitem_l_orderkey_idx,38,38,38,8,161
1416332235.02492,public,lineitem,lineitem_l_orderkey_idx_part2,0,0,0,1,16
1416332235.02492,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,0,0,0,1,16
1416332235.02492,public,lineitem,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,0,0,0,1,16
1416332235.02492,public,lineitem,lineitem_l_orderkey_idx_part1,0,0,0,1,16
1416332235.02492,public,lineitem,pk_lineitem,0,0,0,1,16
1416332235.02492,public,lineitem,lineitem_l_shipdate_l_suppkey__idx,0,0,0,1,16
1416332235.02492,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,18,18,18,8,81
1416332235.02492,pg_toast,pg_toast_12335,pg_toast_12335_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_12340,pg_toast_12340_index,0,0,0,0,0
1416332235.02492,pg_toast,pg_toast_12345,pg_toast_12345_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,236,853
1416332235.02492,pg_catalog,pg_class,pg_class_relname_nsp_index,18059,9411,9249,471,40880
1416332235.02492,pg_catalog,pg_class,pg_class_oid_index,98663,98388,96855,404,202599
1416332235.02492,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,16360,170047,170047,508,35715
1416332235.02492,pg_catalog,pg_operator,pg_operator_oid_index,19890,19890,19890,413,42818
1416332235.02492,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1416332235.02492,pg_catalog,pg_depend,pg_depend_reference_index,4875,5408,4474,1035,11457
1416332235.02492,pg_catalog,pg_depend,pg_depend_depender_index,1438,2318,2318,565,5079
1416332235.02492,pg_toast,pg_toast_12315,pg_toast_12315_index,0,0,0,0,0
1416332235.02492,public,nation,pk_nation,42,42,42,2,49
1416332235.02492,public,supplier,pk_supplier,42,42,42,4,90
1416332235.02492,public,supplier,supplier_s_nationkey_s_suppkey_idx,0,0,0,1,9
1416332235.02492,public,supplier,supplier_s_suppkey_idx_like,0,0,0,1,9
1416332235.02492,public,region,pk_region,8,8,8,2,9
1416332235.02492,public,part,pk_part,26,26,26,6,80
1416332235.02492,public,part,part_p_container_p_brand_p_partkey_idx,0,0,0,1,7
1416332235.02492,public,part,part_p_type_p_partkey_idx,0,0,0,1,7
1416332235.02492,public,part,part_p_name_idx,0,0,0,1,7
1416332235.02492,public,part,part_p_size_idx,0,0,0,1,7
1416332235.02492,public,partsupp,pk_partsupp,16,16,16,6,47
1416332235.02492,public,partsupp,partsupp_ps_suppkey_idx,26,26,26,6,77
1416332235.02492,public,customer,customer_c_phone_idx_c_acctbal,0,0,0,1,7
1416332235.02492,public,customer,customer_c_phone_idx,0,0,0,1,7
1416332235.02492,public,customer,customer_c_mktsegment_c_custkey_idx,0,0,0,1,7
1416332235.02492,public,customer,customer_c_nationkey_c_custkey_idx,0,0,0,1,7
1416332235.02492,public,customer,pk_customer,28,28,28,6,86
1416332295.0267,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,26606,25644,25628,326,56897
1416332295.0267,pg_catalog,pg_type,pg_type_typname_nsp_index,2915,2228,2093,803,7005
1416332295.0267,pg_catalog,pg_type,pg_type_oid_index,108930,108631,108631,313,222895
1416332295.0267,public,orders,pk_orders,30,30,30,133,45216
1416332295.0267,public,orders,orders_o_orderkey_o_orderdate_idx,0,0,0,128,45131
1416332295.0267,public,orders,orders_o_orderdate_o_orderkey_idx,0,0,0,2567,42446
1416332295.0267,pg_toast,pg_toast_2619,pg_toast_2619_index,19570,65444,65444,253,22662
1416332295.0267,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_2618,pg_toast_2618_index,482,1538,1538,74,704
1416332295.0267,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_authid,pg_authid_oid_index,4736,4736,4736,156,9316
1416332295.0267,pg_catalog,pg_authid,pg_authid_rolname_index,4705,4705,4705,162,9248
1416332295.0267,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,96375,218523,218523,634,199408
1416332295.0267,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,166,166,166,251,2450
1416332295.0267,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,5686,25802,25802,1033,14746
1416332295.0267,pg_catalog,pg_proc,pg_proc_oid_index,36001,36001,36001,777,75750
1416332295.0267,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_constraint,pg_constraint_oid_index,48,24,24,6,114
1416332295.0267,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,6,42
1416332295.0267,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,6,42
1416332295.0267,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,6,42
1416332295.0267,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,151,0,0,66,85
1416332295.0267,pg_catalog,pg_index,pg_index_indexrelid_index,44456,44599,44456,145,49395
1416332295.0267,pg_catalog,pg_index,pg_index_indrelid_index,11143,33487,33487,247,13919
1416332295.0267,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_opclass,pg_opclass_oid_index,21533,21533,21533,149,26336
1416332295.0267,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,7211,301184,301184,315,8908
1416332295.0267,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_amop,pg_amop_opr_fam_index,17710,37055,37055,348,38384
1416332295.0267,pg_catalog,pg_amop,pg_amop_fam_strat_index,24793,24793,24793,367,51485
1416332295.0267,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,20857,32875,32875,214,46452
1416332295.0267,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,2529,2529,2529,419,3988
1416332295.0267,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,912,831,750,156,1407
1416332295.0267,pg_catalog,pg_rewrite,pg_rewrite_oid_index,243,162,162,111,300
1416332295.0267,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,265,0,0,70,195
1416332295.0267,pg_catalog,pg_description,pg_description_o_c_o_index,679,0,0,188,1321
1416332295.0267,pg_catalog,pg_cast,pg_cast_source_target_index,158479,37668,37668,147,162872
1416332295.0267,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_database,pg_database_oid_index,7164,7164,7164,160,12208
1416332295.0267,pg_catalog,pg_database,pg_database_datname_index,9903,9903,9903,148,14947
1416332295.0267,pg_catalog,pg_namespace,pg_namespace_oid_index,13173,13173,13173,183,13356
1416332295.0267,pg_catalog,pg_namespace,pg_namespace_nspname_index,13059,8372,8372,148,17598
1416332295.0267,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,20816,0,0,68,20748
1416332295.0267,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,8,8
1416332295.0267,pg_catalog,pg_tablespace,pg_tablespace_oid_index,3355,3355,3355,208,6502
1416332295.0267,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_shdepend,pg_shdepend_reference_index,151,151,151,140,162
1416332295.0267,pg_catalog,pg_shdepend,pg_shdepend_depender_index,679,0,0,127,703
1416332295.0267,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_rowsecurity,pg_rowsecurity_polname_relid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_rowsecurity,pg_rowsecurity_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_default_acl,pg_default_acl_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_default_acl,pg_default_acl_role_nsp_obj_index,604,0,0,64,540
1416332295.0267,pg_catalog,pg_seclabel,pg_seclabel_object_index,679,0,0,61,618
1416332295.0267,pg_catalog,pg_shseclabel,pg_shseclabel_object_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_collation,pg_collation_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_collation,pg_collation_name_enc_nsp_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_range,pg_range_rngtypid_index,1127,0,0,422,1832
1416332295.0267,pg_toast,pg_toast_12320,pg_toast_12320_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_12325,pg_toast_12325_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_12330,pg_toast_12330_index,0,0,0,0,0
1416332295.0267,public,lineitem,lineitem_l_orderkey_idx,38,38,38,479,239057
1416332295.0267,public,lineitem,lineitem_l_orderkey_idx_part2,0,0,0,62,21473
1416332295.0267,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,0,0,0,121,44550
1416332295.0267,public,lineitem,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,0,0,0,639,239045
1416332295.0267,public,lineitem,lineitem_l_orderkey_idx_part1,0,0,0,310,151372
1416332295.0267,public,lineitem,pk_lineitem,0,0,0,472,238912
1416332295.0267,public,lineitem,lineitem_l_shipdate_l_suppkey__idx,1,772110,0,51974,188625
1416332295.0267,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,20,20,20,55851,182716
1416332295.0267,pg_toast,pg_toast_12335,pg_toast_12335_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_12340,pg_toast_12340_index,0,0,0,0,0
1416332295.0267,pg_toast,pg_toast_12345,pg_toast_12345_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,236,857
1416332295.0267,pg_catalog,pg_class,pg_class_relname_nsp_index,18100,9437,9275,472,40977
1416332295.0267,pg_catalog,pg_class,pg_class_oid_index,99112,98837,97304,404,203515
1416332295.0267,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,16387,170326,170326,510,35776
1416332295.0267,pg_catalog,pg_operator,pg_operator_oid_index,19930,19930,19930,413,42911
1416332295.0267,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1416332295.0267,pg_catalog,pg_depend,pg_depend_reference_index,4875,5408,4474,1035,11457
1416332295.0267,pg_catalog,pg_depend,pg_depend_depender_index,1438,2318,2318,565,5079
1416332295.0267,pg_toast,pg_toast_12315,pg_toast_12315_index,0,0,0,0,0
1416332295.0267,public,nation,pk_nation,25746,25746,25746,4,25752
1416332295.0267,public,supplier,pk_supplier,25746,25746,25746,280,51390
1416332295.0267,public,supplier,supplier_s_nationkey_s_suppkey_idx,0,0,0,2,9
1416332295.0267,public,supplier,supplier_s_suppkey_idx_like,0,0,0,2,9
1416332295.0267,public,region,pk_region,12,12,12,4,12
1416332295.0267,public,part,pk_part,33,2000032,2000032,5475,98
1416332295.0267,public,part,part_p_container_p_brand_p_partkey_idx,0,0,0,2,8
1416332295.0267,public,part,part_p_type_p_partkey_idx,0,0,0,2,8
1416332295.0267,public,part,part_p_name_idx,0,0,0,2,8
1416332295.0267,public,part,part_p_size_idx,0,0,0,2,8
1416332295.0267,public,partsupp,pk_partsupp,6444,25716,25716,4462,14991
