# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1416332956;-1;75.22;0.00;19.21;0.10;0.00;5.47
axle;60;1416332956;0;76.82;0.00;17.03;0.03;0.00;6.11
axle;60;1416332956;1;78.60;0.00;15.27;0.05;0.00;6.08
axle;60;1416332956;2;74.17;0.00;20.78;0.10;0.00;4.95
axle;60;1416332956;3;70.26;0.00;22.93;0.02;0.00;6.79
axle;60;1416332956;4;77.38;0.00;18.71;0.15;0.00;3.76
axle;60;1416332956;5;71.34;0.00;22.17;0.08;0.00;6.40
axle;60;1416332956;6;82.99;0.00;14.41;0.17;0.00;2.43
axle;60;1416332956;7;81.17;0.00;16.39;0.20;0.00;2.24
axle;60;1416332956;8;80.78;0.00;15.80;0.02;0.00;3.40
axle;60;1416332956;9;71.06;0.00;21.52;0.08;0.00;7.34
axle;60;1416332956;10;67.57;0.00;23.50;0.02;0.00;8.92
axle;60;1416332956;11;73.15;0.00;20.40;0.13;0.00;6.31
axle;60;1416332956;12;72.36;0.00;20.79;0.15;0.00;6.70
axle;60;1416332956;13;71.80;0.00;20.99;0.13;0.00;7.08
axle;60;1416332956;14;81.42;0.00;15.46;0.17;0.00;2.95
axle;60;1416332956;15;72.59;0.00;21.23;0.03;0.00;6.14
axle;60;1416333016;-1;74.10;0.00;19.83;0.00;0.00;6.07
axle;60;1416333016;0;75.85;0.00;20.15;0.00;0.00;3.99
axle;60;1416333016;1;76.63;0.00;18.35;0.00;0.00;5.02
axle;60;1416333016;2;70.16;0.00;22.73;0.00;0.00;7.12
axle;60;1416333016;3;71.37;0.00;20.64;0.00;0.00;7.99
axle;60;1416333016;4;72.64;0.00;19.86;0.00;0.00;7.50
axle;60;1416333016;5;76.57;0.00;18.75;0.00;0.00;4.69
axle;60;1416333016;6;80.88;0.00;16.01;0.00;0.00;3.12
axle;60;1416333016;7;73.61;0.00;18.78;0.00;0.00;7.61
axle;60;1416333016;8;72.34;0.00;22.51;0.00;0.00;5.15
axle;60;1416333016;9;69.64;0.00;22.22;0.00;0.00;8.14
axle;60;1416333016;10;66.18;0.00;25.05;0.00;0.00;8.77
axle;60;1416333016;11;72.12;0.00;20.18;0.00;0.00;7.71
axle;60;1416333016;12;84.02;0.00;13.19;0.00;0.00;2.79
axle;60;1416333016;13;77.11;0.00;17.00;0.00;0.00;5.90
axle;60;1416333016;14;69.45;0.00;23.43;0.00;0.00;7.12
axle;60;1416333016;15;77.04;0.00;18.47;0.00;0.00;4.48
axle;60;1416333076;-1;74.88;0.00;21.66;0.00;0.00;3.46
axle;60;1416333076;0;70.97;0.00;26.23;0.00;0.00;2.79
axle;60;1416333076;1;72.32;0.00;23.52;0.00;0.00;4.16
axle;60;1416333076;2;79.81;0.00;18.69;0.00;0.00;1.50
axle;60;1416333076;3;74.28;0.00;22.20;0.00;0.00;3.53
axle;60;1416333076;4;72.47;0.00;23.48;0.00;0.00;4.04
axle;60;1416333076;5;78.75;0.00;18.58;0.00;0.00;2.67
axle;60;1416333076;6;71.56;0.00;25.30;0.00;0.00;3.14
axle;60;1416333076;7;72.35;0.00;23.73;0.00;0.00;3.92
axle;60;1416333076;8;76.00;0.00;20.13;0.00;0.00;3.87
axle;60;1416333076;9;77.58;0.00;18.37;0.00;0.00;4.05
axle;60;1416333076;10;76.18;0.00;21.26;0.00;0.00;2.57
axle;60;1416333076;11;73.73;0.00;22.53;0.00;0.00;3.74
axle;60;1416333076;12;69.85;0.00;25.29;0.00;0.00;4.85
axle;60;1416333076;13;80.16;0.00;17.16;0.00;0.00;2.68
axle;60;1416333076;14;76.07;0.00;19.95;0.00;0.00;3.98
axle;60;1416333076;15;76.00;0.00;20.14;0.00;0.00;3.86
axle;60;1416333136;-1;78.19;0.00;20.72;0.00;0.00;1.09
axle;60;1416333136;0;79.02;0.00;19.84;0.00;0.00;1.14
axle;60;1416333136;1;74.69;0.00;24.09;0.00;0.00;1.22
axle;60;1416333136;2;79.73;0.00;19.17;0.00;0.00;1.10
axle;60;1416333136;3;79.65;0.00;19.15;0.00;0.00;1.20
axle;60;1416333136;4;83.88;0.00;15.54;0.00;0.00;0.58
axle;60;1416333136;5;79.61;0.00;19.49;0.00;0.00;0.90
axle;60;1416333136;6;79.77;0.00;19.08;0.00;0.00;1.15
axle;60;1416333136;7;75.86;0.00;22.97;0.00;0.00;1.17
axle;60;1416333136;8;77.07;0.00;21.79;0.00;0.00;1.13
axle;60;1416333136;9;76.50;0.00;21.65;0.00;0.00;1.85
axle;60;1416333136;10;76.56;0.00;22.67;0.00;0.00;0.77
axle;60;1416333136;11;82.91;0.00;16.72;0.00;0.00;0.37
axle;60;1416333136;12;79.19;0.00;19.46;0.00;0.00;1.35
axle;60;1416333136;13;71.58;0.00;27.25;0.00;0.00;1.17
axle;60;1416333136;14;76.25;0.00;22.30;0.00;0.00;1.45
axle;60;1416333136;15;78.89;0.00;20.27;0.00;0.00;0.83
axle;60;1416333196;-1;78.18;0.00;20.24;0.00;0.00;1.58
axle;60;1416333196;0;80.27;0.00;18.75;0.00;0.00;0.98
axle;60;1416333196;1;80.22;0.00;18.71;0.00;0.00;1.07
axle;60;1416333196;2;77.60;0.00;21.33;0.00;0.00;1.07
axle;60;1416333196;3;77.42;0.00;20.16;0.00;0.00;2.42
axle;60;1416333196;4;78.63;0.00;20.03;0.00;0.00;1.33
axle;60;1416333196;5;79.39;0.00;18.21;0.00;0.00;2.40
axle;60;1416333196;6;78.62;0.00;20.00;0.00;0.00;1.38
axle;60;1416333196;7;80.35;0.00;18.88;0.00;0.00;0.77
axle;60;1416333196;8;78.90;0.00;19.89;0.00;0.00;1.22
axle;60;1416333196;9;75.65;0.00;21.73;0.00;0.00;2.62
axle;60;1416333196;10;78.19;0.00;20.77;0.00;0.00;1.03
axle;60;1416333196;11;75.38;0.00;23.39;0.00;0.00;1.23
axle;60;1416333196;12;74.59;0.00;22.63;0.00;0.00;2.78
axle;60;1416333196;13;82.45;0.00;16.62;0.00;0.00;0.93
axle;60;1416333196;14;78.43;0.00;19.74;0.00;0.00;1.83
axle;60;1416333196;15;74.69;0.00;23.05;0.00;0.00;2.27
axle;60;1416333256;-1;75.41;0.00;22.09;0.00;0.00;2.50
axle;60;1416333256;0;72.97;0.00;23.88;0.00;0.00;3.15
axle;60;1416333256;1;76.53;0.00;21.18;0.00;0.00;2.28
axle;60;1416333256;2;79.12;0.00;19.91;0.00;0.00;0.97
axle;60;1416333256;3;77.87;0.00;18.69;0.00;0.00;3.43
axle;60;1416333256;4;71.83;0.00;24.25;0.00;0.00;3.92
axle;60;1416333256;5;77.64;0.00;21.29;0.00;0.00;1.07
axle;60;1416333256;6;73.08;0.00;23.45;0.00;0.00;3.47
axle;60;1416333256;7;76.84;0.00;20.51;0.00;0.00;2.65
axle;60;1416333256;8;68.88;0.00;27.69;0.00;0.00;3.44
axle;60;1416333256;9;78.89;0.00;20.02;0.00;0.00;1.08
axle;60;1416333256;10;77.79;0.00;19.36;0.00;0.00;2.85
axle;60;1416333256;11;76.56;0.00;21.69;0.00;0.00;1.75
axle;60;1416333256;12;74.08;0.00;23.39;0.00;0.00;2.53
axle;60;1416333256;13;73.72;0.00;22.39;0.00;0.00;3.89
axle;60;1416333256;14;72.70;0.00;24.36;0.00;0.00;2.93
axle;60;1416333256;15;78.13;0.00;21.33;0.00;0.00;0.53
